time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451150000	10.4347	20.9723	4.90931	3.25326	0.545757	radar	5.016	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.174	20.9633	4.93843	3.27426	0.539524	lidar	0.43656	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	9.93355	20.9611	4.93094	3.28955	0.524845	radar	1.29826	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.73988	20.9075	4.86142	3.32223	0.532316	lidar	0.550683	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.49883	20.9154	4.78628	3.31393	0.468932	radar	2.2433	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.31192	20.8557	4.71882	3.34501	0.477225	lidar	0.417823	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.11883	20.8153	4.68239	3.37154	0.4852	radar	1.88776	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.85455	20.7756	4.7344	3.38856	0.477772	lidar	0.20927	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71675	20.6587	4.62094	3.43906	0.508467	radar	4.28186	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.45352	20.5973	4.68006	3.45813	0.501658	lidar	0.501153	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.2351	20.5123	4.70132	3.49078	0.515621	radar	0.124226	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.9907	20.4384	4.73437	3.51143	0.510412	lidar	0.091949	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.80554	20.3549	4.74878	3.55032	0.540162	radar	3.31517	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.50631	20.2895	4.85614	3.55811	0.520826	lidar	0.979818	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.27118	20.1917	4.85308	3.57758	0.508425	radar	0.326321	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	7.00306	20.1063	4.91581	3.59066	0.496163	lidar	0.349225	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.78936	20.0202	4.87538	3.60501	0.479271	radar	0.472518	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.53266	19.9255	4.92495	3.61837	0.468948	lidar	0.236939	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.34068	19.8429	4.8823	3.63666	0.464594	radar	2.61363	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.0713	19.745	4.95088	3.64532	0.450562	lidar	0.432935	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.81396	19.5965	5.06761	3.67788	0.473391	radar	1.9246	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.61065	19.4677	5.05046	3.70322	0.475216	lidar	0.128927	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.45192	19.3022	4.98824	3.74389	0.490422	radar	1.30658	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.22055	19.1793	5.01733	3.75821	0.481148	lidar	0.51305	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	5.09031	19.076	4.8267	3.77382	0.457219	radar	4.77528	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.89408	18.9352	4.82962	3.79527	0.455952	lidar	0.0156676	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.63363	18.8014	4.95129	3.80499	0.451088	radar	1.83434	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
